eleve;1.1;1.2;1.3;1.4;2.1;2.2;2.4;2.5;3.1;3.2;3.3;3.4;3.5;3.6
1;1;1;1;1;1;;;1;1;2;1;1;1;1
2;1;1;2;1;1;1;1;;2;;1;2;1;1
3;1;1;2;;;1;;;2;;2;2;2;2
4;1;1;2;1;2;2;;1;2;1;2;2;2;2
5;1;1;2;1;1;1;1;;2;1;1;2;2;
6;1;1;2;;2;2;;;2;2;1;2;2;2
7;1;1;1;1;2;1;1;;1;2;1;2;2;2
8;1;1;;1;1;;1;2;2;1;;;2;2
9;1;1;2;1;;1;1;1;2;2;1;2;2;2
10;1;1;2;1;;1;1;;2;2;2;2;2;2
11;1;1;2;1;1;1;1;2;;2;1;2;2;2
12;1;1;2;1;;1;1;;1;1;;2;2;2
13;1;1;;1;1;1;1;1;1;2;1;1;;1
14;1;1;2;1;2;2;;;2;2;2;2;2;2
15;1;1;2;1;1;1;;1;1;2;1;2;2;2
16;1;1;1;1;;1;;;2;1;2;2;2;2
17;1;1;1;1;1;;1;1;2;2;1;1;1;1
18;1;1;2;2;2;2;1;2;1;1;1;2;2;2
19;1;1;2;1;1;1;;;;2;;2;2;2
20;1;1;2;1;2;1;1;;2;2;1;2;1;2
21;1;1;2;1;;;;1;1;2;;2;2;2
22;1;1;1;1;1;1;;1;1;2;1;1;1;1
23;1;1;2;2;;2;1;;2;2;;2;2;2
24;1;1;1;1;1;1;1;1;1;1;1;;1;1
25;1;1;;1;1;1;1;1;1;2;1;;1;1
26;1;1;2;1;1;1;1;;;2;;2;1;2
